id,gene_symbol,gene_name,entrez_gene_id,homologene_group_id
158383,1700010L04Rik,RIKEN cDNA 1700010L04 gene,619808,
46574,6330411E07Rik,RIKEN cDNA 6330411E07 gene,70733,
106388,6330581N18Rik,RIKEN cDNA 6330581N18 gene,319453,
106517,6430573F11Rik,RIKEN cDNA 6430573F11 gene,319582,35306
87409,A2m,alpha-2-macroglobulin,232345,37248
106850,A830049F12Rik,RIKEN cDNA A830049F12 gene,319915,
11134,Aanat,arylalkylamine N-acetyltransferase,11298,31013
35601,Aatf,apoptosis antagonizing transcription factor,56321,40811
11138,Aatk,apoptosis-associated tyrosine kinase,11302,74861
92603,Abat,4-aminobutyrate aminotransferase,268860,542
11141,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",11305,55590
17019,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",17250,55459
69666,Abhd4,abhydrolase domain containing 4,105501,56937
11183,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",11350,3783
85918,Abra,actin-binding Rho activating protein,223513,34713
29936,Abt1,activator of basal transcription 1,30946,6859
56084,Abtb1,ankyrin repeat and BTB (POZ) domain containing 1,80283,32731
11210,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,11421,37351
11212,Ache,acetylcholinesterase,11423,543
11250,Actb,"actin, beta",11461,110648
11265,Acvr1,"activin A receptor, type 1",11477,7
11267,Acvr1b,"activin A receptor, type 1B",11479,20906
92713,Acvr1c,"activin A receptor, type IC",269275,26724
11268,Acvr2a,activin receptor IIA,11480,20391
11269,Acvr2b,activin receptor IIB,11481,863
11270,Acvrl1,"activin A receptor, type II-like 1",11482,20058
11275,Adam10,a disintegrin and metallopeptidase domain 10,11487,865
11279,Adam17,a disintegrin and metallopeptidase domain 17,11491,2395
11280,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,74925
129123,Adcy1,adenylate cyclase 1,432530,41419
84170,Adcy2,adenylate cyclase 2,210044,75133
11302,Adcy9,adenylate cyclase 9,11515,868
11303,Adcyap1,adenylate cyclase activating polypeptide 1,11516,869
11304,Adcyap1r1,adenylate cyclase activating polypeptide 1 receptor 1,11517,870
11325,Adnp,activity-dependent neuroprotective protein,11538,7617
88720,Adnp2,ADNP homeobox 2,240442,8945
11327,Adora2a,adenosine A2a receptor,11540,20166
11338,Adra2a,"adrenergic receptor, alpha 2a",11551,47944
11339,Adra2b,"adrenergic receptor, alpha 2b",11552,553
11340,Adra2c,"adrenergic receptor, alpha 2c",11553,20170
11341,Adrb1,"adrenergic receptor, beta 1",11554,20171
11356,Aebp2,AE binding protein 2,11569,40690
14573,Aes,amino-terminal enhancer of split,14797,879
16536,Aff3,"AF4/FMR2 family, member 3",16764,1718
11391,Agrp,agouti related protein,11604,7184
11393,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",11606,14
11394,Agtr1a,"angiotensin II receptor, type 1a",11607,3556
86466,Ahctf1,AT hook containing transcription factor 1,226747,9142
32386,Ahi1,Abelson helper integration site 1,52906,9762
11409,Ahr,aryl-hydrocarbon receptor,11622,1224
64352,Akna,AT-hook transcription factor,100182,49947
69514,Akr1c18,"aldo-keto reductase family 1, member C18",105349,128661
11438,Akt1,thymoma viral proto-oncogene 1,11651,3785
43448,Akt1s1,AKT1 substrate 1 (proline-rich),67605,12162
11445,Alcam,activated leukocyte cell adhesion molecule,11658,1229
11455,Aldh1a1,"aldehyde dehydrogenase family 1, subfamily A1",11668,110441
19141,Aldh1a2,"aldehyde dehydrogenase family 1, subfamily A2",19378,68368
36126,Aldh1a3,"aldehyde dehydrogenase family 1, subfamily A3",56847,68080
11456,Aldh2,"aldehyde dehydrogenase 2, mitochondrial",11669,55480
84449,Aldh4a1,"aldehyde dehydrogenase 4 family, member A1",212647,6081
11469,Alk,anaplastic lymphoma kinase,11682,68387
84945,Alx1,ALX homeobox 1,216285,5075
11481,Alx3,aristaless-like homeobox 3,11694,4737
11482,Alx4,aristaless-like homeobox 4,11695,7229
11492,Amh,anti-Mullerian hormone,11705,68060
74698,Amhr2,anti-Mullerian hormone type 2 receptor,110542,10746
86931,Amigo1,adhesion molecule with Ig like domain 1,229715,46421
51564,Amotl1,angiomotin-like 1,75723,43977
11387,Angpt1,angiopoietin 1,11600,37447
11388,Angpt2,angiopoietin 2,11601,22401
11389,Angpt4,angiopoietin 4,11602,36302
48554,Angptl1,angiopoietin-like 1,72713,128467
26108,Angptl2,angiopoietin-like 2,26360,22695
29914,Angptl3,angiopoietin-like 3,30924,8499
37146,Angptl4,angiopoietin-like 4,57875,10755
46567,Angptl6,angiopoietin-like 6,70726,88931
161133,Angptl7,angiopoietin-like 7,654812,50022
11522,Ank3,"ankyrin 3, epithelial",11735,56908
11531,Anxa11,annexin A11,11744,22759
12091,Anxa2,annexin A2,12306,20857
11533,Anxa4,annexin A4,11746,68164
106859,Apba1,"amyloid beta (A4) precursor protein binding, family A, member 1",319924,897
11571,Apba2,"amyloid beta (A4) precursor protein-binding, family A, member 2",11784,4021
11576,Apc,adenomatosis polyposis coli,11789,30950
23558,Apc2,adenomatosis polyposis coli 2,23805,4299
86431,Aph1a,anterior pharynx defective 1a homolog (C. elegans),226548,9345
83933,Aph1b,anterior pharynx defective 1b homolog (C. elegans),208117,12844
44160,Aph1c,anterior pharynx defective 1c homolog (C. elegans),68318,
11590,Aplp1,amyloid beta (A4) precursor-like protein 1,11803,68447
11602,Apod,apolipoprotein D,11815,1246
11603,Apoe,apolipoprotein E,11816,30951
11607,App,amyloid beta (A4) precursor protein,11820,56379
11616,Aqp4,aquaporin 4,11829,37507
11622,Ar,androgen receptor,11835,28
11625,Arc,activity regulated cytoskeletal-associated protein,11838,9056
11626,Areg,amphiregulin,11839,1252
11632,Arf6,ADP-ribosylation factor 6,11845,1256
87385,Arhgap25,Rho GTPase activating protein 25,232201,45507
32146,Arhgef25,Rho guanine nucleotide exchange factor (GEF) 25,52666,32691
47212,Arid5b,AT rich interactive domain 5B (MRF1-like),71371,45872
36074,Arl10,ADP-ribosylation factor-like 10,56795,10550
11650,Arnt,aryl hydrocarbon receptor nuclear translocator,11863,1261
11651,Arnt2,aryl hydrocarbon receptor nuclear translocator 2,11864,7230
11652,Arntl,aryl hydrocarbon receptor nuclear translocator-like,11865,910
93055,Arntl2,aryl hydrocarbon receptor nuclear translocator-like 2,272322,10609
11663,Artn,artemin,11876,7631
11664,Arvcf,armadillo repeat gene deleted in velo-cardio-facial syndrome,11877,31046
11665,Arx,aristaless related homeobox,11878,68998
16941,Ascl1,achaete-scute complex homolog 1 (Drosophila),17172,31234
16942,Ascl2,achaete-scute complex homolog 2 (Drosophila),17173,3789
36066,Ascl3,achaete-scute complex homolog 3 (Drosophila),56787,10571
183550,Ascl4,achaete-scute complex homolog 4 (Drosophila),67341,19806
86417,Ascl5,achaete-scute complex homolog 5 (Drosophila),226439,132678
11208,Asic1,acid-sensing (proton-gated) ion channel 1,11419,121755
11207,Asic2,acid-sensing (proton-gated) ion channel 2,11418,
11686,Astn1,astrotactin 1,11899,7233
35364,Astn2,astrotactin 2,56079,77850
11695,Atf1,activating transcription factor 1,11908,3790
11696,Atf2,activating transcription factor 2,11909,31061
11697,Atf3,activating transcription factor 3,11910,1265
11698,Atf4,activating transcription factor 4,11911,1266
71668,Atf5,activating transcription factor 5,107503,32142
86447,Atf6,activating transcription factor 6,226641,32015
12698,Atf6b,activating transcription factor 6 beta,12915,31238
